Date,Open,High,Low,Close,Adj Close,Volume
2021-09-02,133.850006,134.800003,132.600006,133.600006,132.539200,25276744
2021-09-03,134.050003,135.449997,133.250000,133.850006,132.787216,19000628
2021-09-06,134.399994,134.600006,132.000000,132.199997,131.150314,14304796
2021-09-07,132.399994,132.550003,129.250000,130.050003,129.017395,14561241
2021-09-08,130.600006,133.500000,129.500000,133.250000,132.191986,16351745
2021-09-09,133.199997,134.300003,131.750000,132.750000,131.695953,14453584
2021-09-13,132.750000,132.750000,130.399994,131.050003,130.009445,13771980
2021-09-14,131.500000,133.300003,131.300003,133.000000,131.943970,13305823
2021-09-15,133.100006,142.300003,132.800003,140.050003,138.937988,68917060
2021-09-16,140.000000,142.000000,138.500000,140.250000,139.136398,24490647
2021-09-17,140.850006,141.500000,136.100006,137.899994,136.805054,27560843
2021-09-20,137.600006,139.350006,133.199997,134.300003,133.233643,21535092
2021-09-21,134.750000,136.300003,131.199997,135.850006,134.771347,22526116
2021-09-22,136.949997,139.649994,136.399994,137.850006,136.755463,21321952
2021-09-23,139.199997,144.899994,138.750000,143.649994,142.509399,42890085
2021-09-24,145.000000,145.350006,138.699997,139.100006,137.995529,29040576
2021-09-27,140.300003,140.399994,136.750000,138.750000,137.648315,18192368
2021-09-28,140.000000,142.850006,139.050003,140.050003,138.937988,29196888
2021-09-29,139.800003,158.750000,138.899994,151.600006,150.396286,126746990
2021-09-30,152.500000,161.199997,151.300003,158.750000,157.489502,111302311
2021-10-01,158.750000,164.949997,156.600006,163.750000,162.449814,90310679
2021-10-04,166.250000,172.500000,164.000000,168.600006,167.261307,93787605
2021-10-05,169.000000,184.750000,168.350006,179.399994,177.975540,161189379
2021-10-06,182.850006,182.850006,172.800003,175.949997,174.552933,101232618
2021-10-07,178.350006,184.000000,176.850006,177.750000,176.338638,73313810
2021-10-08,180.149994,180.199997,175.000000,176.850006,175.445801,43365657
2021-10-11,177.850006,193.699997,177.000000,191.500000,189.979462,126307288
2021-10-12,194.899994,198.699997,189.800003,195.800003,194.245331,104950239
2021-10-13,201.649994,232.399994,200.000000,224.199997,222.419830,305037222
2021-10-14,235.000000,237.000000,220.699997,222.600006,220.832535,126938132
2021-10-18,227.500000,264.850006,223.100006,257.299988,255.257004,273591610
2021-10-19,266.000000,267.850006,221.500000,229.750000,227.925766,245771135
2021-10-20,225.000000,236.300003,217.500000,230.350006,228.520996,219286012
2021-10-21,234.000000,234.399994,220.550003,226.149994,224.354340,82393222
2021-10-22,228.500000,233.800003,216.000000,222.000000,220.237289,85764004
2021-10-25,224.600006,224.899994,208.000000,213.600006,211.903992,92057542
2021-10-26,215.050003,232.300003,214.250000,225.300003,223.511093,113036438
2021-10-27,231.500000,232.699997,222.699997,224.250000,222.469437,78577000
2021-10-28,224.800003,224.800003,216.600006,218.000000,216.269058,64733467
2021-10-29,210.500000,217.699997,201.399994,214.300003,212.598434,115032835
2021-11-01,219.949997,225.199997,214.399994,222.949997,221.179749,59687720
2021-11-02,228.000000,235.000000,227.250000,228.500000,226.685684,91597155
2021-11-03,230.000000,230.899994,226.199997,228.800003,226.983307,49974804
2021-11-04,231.800003,233.149994,230.600006,231.350006,229.513062,14860447
2021-11-08,233.000000,235.649994,228.750000,234.550003,232.687653,53880144
2021-11-09,235.000000,247.949997,234.649994,241.899994,239.979279,103894620
2021-11-10,241.399994,241.399994,236.300003,237.000000,235.118195,47845906
2021-11-11,237.500000,241.300003,235.550003,239.750000,237.846359,50433666
2021-11-12,242.000000,242.399994,236.000000,239.850006,237.945572,42038250
2021-11-15,241.850006,244.000000,239.300003,241.649994,239.731262,32578602
2021-11-16,242.149994,247.649994,241.500000,244.500000,242.558640,47776299
2021-11-17,244.500000,252.500000,243.000000,249.899994,247.915756,58883464
2021-11-18,250.399994,252.050003,232.449997,237.100006,235.217407,82052417
2021-11-22,238.399994,238.399994,224.000000,227.649994,225.842422,62459802
2021-11-23,223.949997,238.000000,222.199997,236.949997,235.068588,61158286
2021-11-24,240.000000,246.699997,237.300003,238.550003,236.655884,67847218
2021-11-25,239.449997,244.399994,234.000000,242.800003,240.872147,51777691
2021-11-26,238.000000,240.300003,225.750000,227.350006,225.544815,80108784
2021-11-29,226.000000,226.750000,213.250000,218.649994,216.913895,83187881
2021-11-30,221.949997,228.250000,213.100006,216.800003,215.078583,222571262
2021-12-01,220.000000,227.300003,215.000000,225.199997,223.411880,67127202
2021-12-02,230.449997,230.449997,221.199997,226.399994,224.602356,78572738
2021-12-03,226.800003,228.300003,224.350006,225.600006,223.808716,48145736
2021-12-06,225.600006,226.600006,220.100006,220.850006,219.096436,34399066
2021-12-07,224.000000,227.750000,222.750000,226.449997,224.651962,36287629
2021-12-08,228.000000,230.800003,227.000000,229.399994,227.578537,30348053
2021-12-09,229.899994,230.899994,226.800003,227.699997,225.892029,23516676
2021-12-10,226.399994,229.899994,225.399994,228.000000,226.189651,26363105
2021-12-13,230.100006,236.500000,229.000000,230.250000,228.421783,40382575
2021-12-14,230.000000,230.000000,225.500000,229.050003,227.231323,24698002
2021-12-15,229.000000,232.399994,227.050003,227.850006,226.040848,20127541
2021-12-16,229.800003,230.050003,219.149994,221.899994,220.138077,40645402
2021-12-17,222.699997,222.699997,214.000000,215.800003,214.086533,38813929
2021-12-20,210.500000,211.949997,202.800003,209.100006,207.439728,47944121
2021-12-21,213.000000,216.250000,209.850006,211.899994,210.217484,33006180
2021-12-22,214.500000,218.699997,213.300003,218.000000,216.269058,21655596
2021-12-23,220.000000,221.250000,217.449997,218.050003,216.318665,16940883
2021-12-24,219.050003,219.449997,214.149994,216.800003,215.078583,18770416
2021-12-27,216.600006,217.750000,213.800003,217.350006,215.624222,15870056
2021-12-28,218.699997,222.199997,218.500000,221.600006,219.840469,19058757
2021-12-29,221.000000,223.250000,218.850006,219.449997,217.707535,14504319
2021-12-30,218.699997,221.000000,217.050003,218.350006,216.616287,14315067
2021-12-31,218.899994,222.000000,218.350006,220.949997,219.195633,12737974
2022-01-03,221.199997,223.899994,216.000000,223.399994,221.626175,19062825
2022-01-04,224.300003,228.250000,221.000000,226.300003,224.503159,32469988
2022-01-05,226.399994,226.550003,223.000000,223.500000,221.725388,17271276
2022-01-06,221.449997,229.800003,219.500000,228.449997,226.636078,27537005
2022-01-07,230.300003,232.850006,227.100006,229.800003,227.975372,34595209
2022-01-10,230.949997,233.449997,230.399994,231.750000,229.909882,22061859
2022-01-11,233.000000,236.699997,231.800003,233.100006,231.249161,25489182
2022-01-12,234.899994,239.649994,234.500000,237.750000,235.862244,32665403
2022-01-13,239.000000,246.699997,236.500000,245.300003,243.352295,50250827
2022-01-14,243.699997,248.500000,242.500000,244.399994,242.459427,36940487
2022-01-17,245.899994,249.250000,245.000000,247.850006,245.882050,25339181
2022-01-18,250.000000,250.600006,237.800003,239.100006,237.201523,30408196
2022-01-19,239.000000,249.699997,236.050003,248.500000,246.526886,36751594
2022-01-20,250.000000,252.149994,245.149994,248.649994,246.675690,35990609
2022-01-21,245.800003,250.800003,238.550003,241.949997,240.028885,35507032
2022-01-24,242.500000,243.850006,226.600006,229.550003,227.727356,43279408
2022-01-25,226.250000,240.850006,223.000000,238.800003,236.903900,39449718
2022-01-27,235.500000,242.350006,232.500000,241.050003,239.136032,35920383
2022-01-28,244.699997,250.000000,242.850006,244.050003,242.112213,34523855
2022-01-31,247.949997,249.550003,245.300003,246.050003,244.096344,24939671
2022-02-01,249.500000,256.399994,244.800003,249.850006,247.866165,74185275
2022-02-02,251.899994,255.000000,249.250000,250.600006,248.610214,25162901
2022-02-03,250.550003,254.399994,249.300003,252.850006,250.842346,27724870
2022-02-04,253.800003,257.899994,253.000000,254.350006,252.330444,39309420
2022-02-07,255.500000,256.700012,250.550003,251.800003,249.800690,32770930
2022-02-08,252.500000,253.600006,232.600006,234.850006,232.985275,82053977
2022-02-09,236.699997,238.899994,232.600006,238.000000,236.110260,35604075
2022-02-10,238.500000,244.500000,234.100006,241.300003,239.384048,55153254
2022-02-11,240.000000,242.050003,230.199997,232.300003,230.455521,36050888
2022-02-14,226.000000,226.850006,216.000000,220.500000,218.749207,38301829
2022-02-15,222.750000,231.750000,218.800003,230.399994,228.570587,36314556
2022-02-16,233.399994,236.899994,230.100006,231.350006,229.513062,35144286
2022-02-17,233.350006,233.850006,227.000000,227.750000,225.941635,23381354
2022-02-18,227.000000,230.000000,224.649994,225.750000,223.957520,18717812
2022-02-21,224.000000,227.649994,222.250000,225.000000,223.213470,24657963
2022-02-22,218.000000,224.850006,217.300003,222.649994,220.882126,29360421
2022-02-23,226.000000,226.800003,220.350006,221.199997,219.443649,23583042
2022-02-24,213.000000,216.149994,203.250000,204.300003,202.677841,60097152
2022-02-25,210.000000,221.300003,209.550003,220.000000,218.253174,52157687
2022-02-28,217.500000,224.350006,214.100006,223.050003,221.278961,35508015
2022-03-02,220.000000,227.250000,218.399994,225.399994,223.610291,28297089
2022-03-03,229.000000,230.550003,225.899994,226.600006,224.800781,22429798
2022-03-04,225.000000,226.449997,220.800003,221.449997,219.691666,22427429
2022-03-07,217.000000,219.699997,212.250000,216.199997,214.483337,23498823
2022-03-08,215.000000,227.800003,214.600006,226.949997,225.147995,41105290
2022-03-09,229.100006,231.199997,226.300003,229.250000,227.429733,25437632
2022-03-10,235.000000,235.850006,229.899994,232.250000,230.405914,25462569
2022-03-11,231.899994,234.250000,230.300003,233.149994,231.298752,18163055
2022-03-14,233.100006,234.649994,230.550003,231.550003,229.711472,12074559
2022-03-15,231.949997,233.300003,225.300003,227.399994,225.594406,16150855
2022-03-16,230.000000,231.699997,229.050003,230.449997,228.620193,12428032
2022-03-17,233.600006,233.949997,231.300003,231.750000,229.909882,16453329
